"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","new_building","newly_built","oldbuilding","oven","parking_indoor","parking_outside","playground","pool","price","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","year","year_built","zipcode"
85,1,0,0,0,1,0,0,1,0,2.22039958481167,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,1490,0,0,3.5,1,0,0,0,0,1,2013,1999,5210
104,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,1448,0,0,4.5,1,0,0,0,0,0,2016,1988,5000
116.515049457428,0,0,0,0,0,0,0,0,0,2.20187808302193,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,587,0,0,4.20482444133853,1,0,0,0,0,0,2013,1974.75075297634,1255
128,1,0,0,0,0,0,0,1,0,3,0,"Wohnung",1,0,0,1,0,0,0,0,1,0,0,2096,0,0,4.5,1,0,0,0,0,1,2015,2010,1965
125,0,0,0,0,0,0,0,0,0,2.10160931254297,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1808,0,0,4.44031058829499,1,0,0,0,0,0,2015,1979.44938827462,1964
132,0,0,0,0,1,0,1,1,0,2.34312523282524,0,"Wohnung",0,0,0,1,0,0,0,0,0,0,0,165,0,0,4.5,1,0,0,0,0,1,2013,1978.35942985189,1807
128,1,0,0,0,1,0,1,1,0,3.21508573190659,0,"Dachwohnung",1,0,0,0,0,0,1,0,0,0,0,2217,0,0,4.5,1,0,0,0,0,0,2017,1965,7270
104,0,0,0,0,0,0,0,1,0,2,0,"Attika",0,0,0,0,0,0,0,0,0,0,0,50,0,0,2.5,1,0,0,1,0,0,2014,1990.3618887844,1262
52,1,0,0,0,0,0,1,0,0,2.22436848933183,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,1,1346,0,0,2.5,1,0,0,0,0,0,2017,1974.09197600904,6614
120,0,0,0,0,1,0,1,1,0,2.39051626365308,0,"Wohnung",1,0,0,1,0,0,0,1,0,0,0,480,0,0,4,1,0,0,0,0,0,2015,1976,3963
155,0,0,0,0,0,0,0,0,0,1.62960989682447,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,2374,0,0,4.5,1,0,0,0,0,0,2018,2018,1870
86,1,0,0,0,0,0,1,1,0,1.99021485643503,0,"Terrassenwohnung",1,0,0,0,0,0,0,1,1,0,0,1978,0,0,3.5,1,0,0,0,0,1,2015,1984,3963
163,0,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,1,0,0,0,0,0,0,2492,0,0,4.5,1,0,0,0,0,1,2015,2015,5712
143,1,0,0,0,1,0,1,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1751,0,0,4.5,1,0,0,0,0,1,2014,2003,5103
149.467711993131,1,0,0,0,0,0,0,1,0,2.24846433622562,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,1682,0,0,5.5,1,0,0,0,0,0,2017,1989,1630
142,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2382,0,0,3.5,1,0,0,0,0,1,2014,2011,4460
240,0,0,0,0,0,0,1,1,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,1752,0,0,6.71500110442058,1,0,0,0,0,0,2016,1981.12671710287,1007
190,0,0,0,0,0,0,0,0,0,2.07068631632076,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2369,0,0,7,1,0,0,0,0,0,2014,1980.70092730727,1971
134,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1827,0,0,5.5,1,0,0,0,0,0,2015,1984.61047631426,1510
240,0,0,0,0,0,0,0,0,0,2.24812957665662,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2506,0,0,5.5,1,0,0,0,0,0,2019,1988.13087771179,6968
129,0,0,0,0,0,0,0,1,0,2.6062756328837,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,557,0,0,5,1,0,0,0,0,1,2013,1986.41644386229,1234
123,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,45,0,0,3.5,1,0,0,0,0,0,2013,1989.76764679717,6648
260,1,0,0,0,0,0,0,1,0,2.61723347568566,0,"Wohnung",0,0,0,0,0,0,0,1,0,0,0,628,0,0,5.5,1,0,0,0,0,0,2013,2006,7050
37.1637535283715,1,0,0,0,1,0,0,1,0,2.2947039139039,0,"Wohnung",0,0,0,0,0,0,0,0,1,0,0,842,0,0,1.5,1,0,0,0,0,0,2018,1971,7050
102.722251920912,0,0,0,0,0,0,0,0,0,1.98173503974307,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,2454,0,0,4.08275251990491,1,0,0,0,0,0,2013,1977.48884218753,1255
111,1,0,0,0,1,0,0,1,0,1.74313469707086,0,"Wohnung",1,0,0,0,1,0,0,1,1,0,0,2382,0,0,4.5,1,0,0,0,0,0,2017,2018,8302
150,1,0,0,0,1,0,1,0,0,3,0,"Attika",1,0,0,0,0,0,0,1,1,0,0,587,0,0,5,1,0,0,0,0,0,2016,2002,6900
286,0,0,0,0,0,0,1,1,0,6,0,"Attika",0,0,0,0,0,0,0,0,1,0,0,1347,0,0,6.5,1,0,0,0,0,1,2017,1912,1820
103,1,0,0,0,0,0,1,0,0,1.5346716832978,0,"Wohnung",1,0,0,0,0,0,0,1,0,0,0,1682,0,0,4.5,1,0,0,0,0,0,2016,1995,8193
206,1,0,0,0,1,0,1,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1029,0,0,8,1,0,0,0,0,1,2014,1961,1206
192,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,1,1,0,0,1,0,0,0,2505,0,0,5.5,1,0,0,0,0,1,2013,2012,8272
101,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,1,0,0,1606,0,0,4.5,1,0,0,0,0,0,2017,2017,1853
66,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,0,1168,0,0,2.5,1,0,0,0,0,0,2018,1993.01057375075,1912
123,1,0,0,0,1,0,0,1,0,2,0,"Wohnung",1,0,0,0,1,0,0,0,1,0,0,2197,0,0,4.5,1,0,0,0,0,0,2015,2014,6020
121,1,0,0,0,1,0,0,1,0,3,0,"Wohnung",1,0,0,0,1,0,0,1,0,0,0,2512,0,0,4.5,1,0,0,0,0,0,2015,2015,6600
