"area","balcony","basement","bath_tube","building_plot","cabletv","ceiling","cheminee","elevator","first_time","floors","furnished","home_type","kids_friendly","laundry","minergie","oven","parking_indoor","parking_outside","playground","pool","quiet","raised_groundfloor","rooms","sale","sunny","terrace","topstorage","veranda","wheelchair","zipcode","age"
108,0,0,0,0,0,0,0,0,0,2,0,"Dachwohnung",0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"1255",2
58,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,3.5,1,0,0,0,0,0,"1882",39
84,1,1,1,0,1,0,0,1,0,1,0,"Wohnung",0,1,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"4054",43
226,0,0,0,0,0,0,0,1,0,3,0,"Attika",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"6612",8
89,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,4,1,0,0,0,0,0,"1213",23
129,1,0,0,0,1,0,1,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"8172",7
200,0,0,0,0,0,0,1,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,6,1,0,0,0,0,0,"1209",37
137,1,0,0,0,1,0,0,1,0,4,0,"Attika",0,0,0,0,1,1,0,0,0,0,3.5,1,0,0,0,0,0,"8700",5
75,1,0,0,0,0,0,1,1,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,"3963",40
90,0,0,0,0,0,0,0,0,0,3,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"4534",6
131,0,0,0,0,1,0,0,1,0,3,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,4.5,1,0,0,0,0,0,"5621",6
148,1,0,0,0,1,0,0,1,0,1,0,"Terrassenwohnung",1,0,0,0,1,1,0,0,0,1,4.5,1,0,0,0,0,1,"6242",4
106,0,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"3963",57
57,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,1,0,0,0,0,0,2.5,1,0,0,0,0,0,"1350",1
29,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,1.5,1,0,0,0,0,0,"1030",0
141,1,0,0,0,1,0,0,1,0,3,0,"Maisonette",0,0,0,0,1,0,0,0,0,0,5.5,1,0,0,0,0,0,"8320",17
119,1,0,0,0,1,0,0,1,1,4,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,0,"6014",24
88,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,1,1,0,0,0,0,3.5,1,0,0,0,0,0,"4313",9
150,1,0,0,0,0,0,1,1,0,2,0,"Maisonette",1,0,0,0,1,0,0,0,0,0,5.5,1,0,0,0,0,0,"1028",50
110,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,0,0,"3961",7
135,1,0,0,0,0,0,0,1,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,4.5,1,0,0,0,0,1,"8052",10
97,1,0,0,0,0,0,0,1,0,2,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"6512",23
68,1,0,0,0,0,0,0,0,0,2,0,"Wohnung",1,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,"9403",64
132,1,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,5.5,1,0,0,0,0,0,"6246",10
200,1,0,0,0,0,0,0,0,0,2,0,"Maisonette",1,0,0,0,0,1,0,0,0,0,6.5,1,0,0,0,0,0,"8038",11
58,0,0,0,0,0,0,0,0,0,1,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,"3973",3
115,1,0,0,0,1,0,0,1,0,1,0,"Maisonette",0,0,0,0,0,1,0,0,0,0,4.5,1,0,0,0,0,0,"8608",24
80,0,0,0,0,0,0,0,0,0,6,0,"Wohnung",0,0,0,0,0,0,0,0,0,0,3.5,1,0,0,0,0,0,"3952",23
